GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
9.526,1,22864820174,0.3,0.462785686,5.0625,26204362,2.011659622,0.497101989,P100,shakebig,0.01587039183,0.4249134031,216,22.44,4.01,200.01,7.54,14.43
9.526,1,22864820174,0.3,0.462785686,5.0625,26204362,2.023070812,0.494298071,P100,shakebig,0.01587039183,0.4249134031,216,22.44,4.01,200.01,7.54,14.43
9.526,1,22864820174,0.3,0.462785686,5.0625,26204362,2.030786514,0.492420052,P100,shakebig,0.01587039183,0.4249134031,216,22.44,4.01,200.01,7.54,14.43
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.91890192,0.144531605,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.963926315,0.143597154,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.905655384,0.144808848,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.964015007,0.143595325,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.982004642,0.143225342,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.893562317,0.14506288,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.298280716,0.158773488,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
9.526,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,6.953882694,0.143804554,P100,shakesmall,0.2347489802,0.03738980463,216,22.07,4.01,22.36,7.54,14.44
