GPU TFLOPS,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s)
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.27346516,0.081476583
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.28455067,0.081403059
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.87725353,0.077656311
9.526,13004101,0.3,0.068140837,0.5625,1857722,11.91117954,0.083954742
9.526,13004101,0.3,0.068140837,0.5625,1857722,11.25314617,0.088864037
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.20932961,0.081904579
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.12560272,0.082470127
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.18453312,0.082071261
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.01950645,0.083198092
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.04952717,0.082990808
9.526,13004101,0.3,0.068140837,0.5625,1857722,12.24032784,0.081697158
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.027602196,0.49319339
9.526,183350654,0.3,0.462785686,5.0625,26204362,1.95513618,0.511473324
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.050427675,0.487703132
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.041935921,0.489731333
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.030066967,0.492594587
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.038570404,0.49053984
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.032358408,0.492039197
9.526,183350654,0.3,0.462785686,5.0625,26204362,1.980448008,0.504936255
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.099328041,0.476342897
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.072199345,0.482579054
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.011659622,0.497101989
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.023070812,0.494298071
9.526,183350654,0.3,0.462785686,5.0625,26204362,2.030786514,0.492420052
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.91890192,0.144531605
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.963926315,0.143597154
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.905655384,0.144808848
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.964015007,0.143595325
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.982004642,0.143225342
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.893562317,0.14506288
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.298280716,0.158773488
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.953882694,0.143804554
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.969549179,0.143481303
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.979319096,0.143280453
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.938715935,0.144118884
9.526,20462334,0.3,0.040374826,0.5625,2926986,7.001696587,0.142822527
9.526,20462334,0.3,0.040374826,0.5625,2926986,6.974262714,0.143384332
4.113,4856736,30.3,0.052934113,0.5625,693818,5.768906116,0.173343088
4.113,4856736,30.3,0.052934113,0.5625,693818,5.611301422,0.178211777
4.113,4856736,30.3,0.052934113,0.5625,693818,5.641677856,0.177252233
4.113,4856736,30.3,0.052934113,0.5625,693818,5.62794733,0.177684676
4.113,4856736,30.3,0.052934113,0.5625,693818,5.593249321,0.178786952
4.113,4856736,30.3,0.052934113,0.5625,693818,5.613125324,0.17815387
4.113,4856736,30.3,0.052934113,0.5625,693818,5.623867035,0.177813592
4.113,4856736,30.3,0.052934113,0.5625,693818,5.626635075,0.177726116
4.113,4856736,30.3,0.052934113,0.5625,693818,5.649605274,0.177003516
4.113,4856736,30.3,0.052934113,0.5625,693818,5.653944969,0.176867657
4.113,4856736,30.3,0.052934113,0.5625,693818,5.560635567,0.179835558
4.113,4856736,30.3,0.052934113,0.5625,693818,5.632692814,0.177534979
4.113,4856736,30.3,0.052934113,0.5625,693818,5.458370686,0.183204853
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.3801229,0.295847231
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.334577084,0.299888104
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.378771782,0.295965536
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.282407284,0.304654454
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.339993715,0.299401761
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.368957996,0.296827684
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.391615629,0.294844732
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.357032061,0.297882171
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.286259413,0.304297341
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.366349697,0.297057671
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.394923449,0.294557452
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.363038063,0.297350188
4.113,13004101,30.3,0.068140837,0.5625,1857722,3.359165907,0.297692948
9.526,4856736,30.3,0.052934113,0.5625,693818,9.878688812,0.101228009
9.526,4856736,30.3,0.052934113,0.5625,693818,9.892227173,0.10108947
9.526,4856736,30.3,0.052934113,0.5625,693818,9.815966606,0.101874837
9.526,4856736,30.3,0.052934113,0.5625,693818,7.328013897,0.136462623
9.526,4856736,30.3,0.052934113,0.5625,693818,9.290148735,0.107640903
9.526,4856736,30.3,0.052934113,0.5625,693818,9.525075912,0.10498604
9.526,4856736,30.3,0.052934113,0.5625,693818,9.513516426,0.105113604
9.526,4856736,30.3,0.052934113,0.5625,693818,9.507123947,0.105184281
9.526,4856736,30.3,0.052934113,0.5625,693818,8.839863777,0.113123915
9.526,4856736,30.3,0.052934113,0.5625,693818,9.922354698,0.100782529
9.526,4856736,30.3,0.052934113,0.5625,693818,9.889166832,0.101120753
9.526,4856736,30.3,0.052934113,0.5625,693818,9.893065453,0.101080904
9.526,4856736,30.3,0.052934113,0.5625,693818,9.876080513,0.101254744
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.890157938,0.529056318
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.978518844,0.505428595
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.849197149,0.540775223
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.847471952,0.541280207
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.813921928,0.551291643
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.834274173,0.54517477
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.841100335,0.543153451
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.893178344,0.528212254
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.875207424,0.533274339
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.865131378,0.536155261
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.892181993,0.52849039
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.93870759,0.515807544
4.113,20462334,30.3,0.040374826,0.5625,2926986,1.884466648,0.530654125
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.438898087,0.225281135
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.731088638,0.211367843
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.721516609,0.211796353
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.687436581,0.21333622
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.713994026,0.212134338
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.57694006,0.218486584
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.712137222,0.212217928
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.737989902,0.211059969
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.744792938,0.210757353
9.526,13004101,30.3,0.068140837,0.5625,1857722,4.742938519,0.210839756
