GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU,Number of Tensors,Index File Size,Meta File Size,Weight File Size,Graph File Size,Event File Size
4.113,1,22864820174,0.3,0.462785686,5.0625,26204362,0.714442372,1.399693018,K80,shakebig,,1,216,22.44,4.01,200.01,7.54,14.43
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.539875507,0.393720085,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.571589947,0.388864485,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.527244091,0.395687937,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.564818382,0.389891154,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.583915472,0.387009564,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.583359957,0.387092785,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.521844625,0.396535135,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.55969882,0.390670962,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.538445473,0.393941887,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.562117815,0.390302114,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.517647266,0.397196229,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.567349911,0.389506703,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.08799394029,2587431950,0.3,0.05169243283,0.5625,2926986,2.566713572,0.38960327,K80,shakesmall,,0.1024678338,216,22.07,4.01,22.36,7.54,14.44
4.113,0.01030535117,860117021,0.3,,,1063226,7.686818123,0.13009284,K80,custom1,,0.02601219304,62,6.71,1.13,8.12,2.33,4.05
