GPU TFLOPS,Normalized Model,Model FLOPs,Latency (ms),Average Tensor Size (MB),Max Tensor Size (MB),Number of Parameters,Speed (steps/sec),Step Time (s),GPU (temp),Model (temp),GPU/Model,Model/GPU
4.113,0.1027507169,2915531621,0.3,,,3391034,2.796462297,0.357594666,K80,custom5,0.1941858398,0.1027507169
4.113,0.1027507169,2915531621,0.3,,,3391034,2.888324022,0.346221543,K80,custom5,0.1941858398,0.1027507169
4.113,0.1027507169,2915531621,0.3,,,3391034,2.885887146,0.346513897,K80,custom5,0.1941858398,0.1027507169
4.113,0.1027507169,2915531621,0.3,,,3391034,2.891526937,0.345838037,K80,custom5,0.1941858398,0.1027507169
4.113,0.1027507169,2915531621,0.3,,,3391034,2.813499928,0.35542919,K80,custom5,0.1941858398,0.1027507169
4.113,0.1027507169,2915531621,0.3,,,3391034,2.885677814,0.346539033,K80,custom5,0.1941858398,0.1027507169
4.113,0.1027507169,2915531621,0.3,,,3391034,2.878062248,0.347456001,K80,custom5,0.1941858398,0.1027507169
4.113,0.430744489,10208089582,0.3,,,11661610,1.275221109,0.784177734,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.268373966,0.78841101,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.275852919,0.783789405,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.259142756,0.794191123,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.274915218,0.784365882,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.263232946,0.791619632,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.27523756,0.784167618,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.260091066,0.793593437,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.274992108,0.78431858,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.260757685,0.793173829,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.275763512,0.783844334,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.252214551,0.798585194,K80,shakemid,0.03518722069,0.430744489
4.113,0.430744489,10208089582,0.3,,,11661610,1.277028084,0.783068135,K80,shakemid,0.03518722069,0.430744489
4.113,0.1489893754,3943594121,0.3,,,4610362,2.252577066,0.443935977,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.211069822,0.452269752,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.255709171,0.443319561,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.236259937,0.447175207,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.211784363,0.452123641,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.242702246,0.445890667,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.241036892,0.446222016,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.204989195,0.453516962,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.252756834,0.443900551,K80,custom6,0.1361648354,0.1489893754
4.113,0.1489893754,3943594121,0.3,,,4610362,2.249999523,0.444444539,K80,custom6,0.1361648354,0.1489893754
