Wall time,Step,Value,Step Time
,0,0,
1563843260,101,8.992776871,
1563843270,201,9.525479317,0.104981594
1563843281,301,9.463047028,0.105674208
1563843292,401,9.317095757,0.107329583
1563843302,501,9.444906235,0.105877176
1563843313,601,9.425959587,0.106089994
1563843323,701,9.547537804,0.104739046
1563843334,801,9.408808708,0.106283381
1563843344,901,9.581627846,0.1043664
1563843355,1001,9.051277161,0.110481646
1563843366,1101,9.459941864,0.105708895
1563843377,1201,9.41146183,0.106253419
1563843387,1301,9.500644684,0.105256015
1563843398,1401,9.286025047,0.107688704
1563843409,1501,9.308116913,0.107433116
1563843419,1601,9.635861397,0.103778994
1563843429,1701,9.635377884,0.103784202
1563843440,1801,9.536384583,0.104861543
1563843450,1901,9.509748459,0.105155252
1563843461,2001,9.563466072,0.1045646
1563843471,2101,9.59056282,0.104269167
1563843482,2201,9.164018631,0.109122432
1563843492,2301,9.739762306,0.10267191
1563843503,2401,9.731422424,0.1027599
1563843513,2501,9.506731987,0.105188618
1563843524,2601,9.257569313,0.108019715
1563843535,2701,9.4463377,0.105861132
1563843545,2801,9.389055252,0.106506989
1563843556,2901,9.642492294,0.103707628
1563843566,3001,9.484652519,0.105433488
1563843577,3101,9.431667328,0.106025792
1563843587,3201,9.553338051,0.104675454
1563843598,3301,9.694804192,0.103148035
1563843609,3401,8.826743126,0.11329207
1563843619,3501,9.530305862,0.104928427
1563843630,3601,9.682497025,0.103279144
1563843640,3701,9.739537239,0.102674283
1563843651,3801,9.427471161,0.106072984
1563843661,3901,9.209598541,0.108582366
,,0.191459936,0.105698087
,,,0.002191345
