Wall time,Step,Value
1564448847.739773,101,6.090315341949463
1564448863.158055,201,6.485807418823242
1564448878.784314,301,6.39947509765625
1564448894.596383,401,6.324284076690674
1564448909.920171,501,6.525795936584473
1564448925.244197,601,6.525716304779053
1564448940.644648,701,6.493299961090088
1564448956.737269,801,6.214050769805908
1564448972.238083,901,6.451253414154053
1564448987.665358,1001,6.482039451599121
1564449003.018924,1101,6.5131306648254395
1564449018.433345,1201,6.487434387207031
1564449033.828358,1301,6.4956159591674805
1564449049.17532,1401,6.515946865081787
