Provisioning,Staging,Booting
1.946637207,47.2762439,39.52497705
1.978821045,23.72455103,39.3008291
1.8547229,26.49227295,40.08941675
1.975239014,25.3531748,39.63495117
1.855693848,24.5179021,39.45141699
2.047049072,23.58641187,36.17984912
1.887468018,24.08219922,35.64519482
1.809485107,25.63812012,35.15448389
4.154183105,42.01841992,41.51582202
1.997032227,25.34373804,39.62320996
2.278719971,27.83320508,36.2542998
2.339998047,25.02389478,40.13413208
2.059566162,25.45890698,40.71144897
1.94650415,26.68418384,35.36590308
1.94547583,25.7997312,39.86816406
