Wall time,Step,Value,Step Time
1563842428,101,12.78220081,
1563842434,201,15.81122684,0.063246199
1563842440,301,15.766469,0.063425742
1563842447,401,15.5712719,0.06422083
1563842453,501,15.78018856,0.063370599
1563842460,601,15.39289665,0.06496503
1563842466,701,15.8075552,0.063260889
1563842472,801,15.59659481,0.06411656
1563842479,901,15.86476612,0.06303276
1563842485,1001,15.90025043,0.062892091
1563842491,1101,15.70757103,0.063663567
1563842498,1201,15.81850433,0.063217102
1563842504,1301,15.50708103,0.064486669
1563842511,1401,14.252738,0.070161958
1563842518,1501,15.78078842,0.06336819
1563842524,1601,15.68203354,0.06376724
1563842530,1701,15.91892052,0.06281833
1563842536,1801,15.84921169,0.063094621
1563842543,1901,15.74725533,0.06350313
1563842549,2001,15.93467045,0.06275624
1563842555,2101,15.74040413,0.06353077
1563842562,2201,15.88352966,0.062958298
1563842568,2301,15.46610069,0.064657538
1563842575,2401,15.74346256,0.063518428
1563842581,2501,15.87847424,0.062978343
1563842587,2601,15.67568398,0.06379307
1563842594,2701,15.40403938,0.064918037
1563842600,2801,15.84794807,0.063099651
1563842607,2901,15.4829998,0.064586967
1563842613,3001,15.46027279,0.064681912
1563842619,3101,15.75666904,0.06346519
1563842626,3201,15.95103741,0.062691847
1563842633,3301,14.36162186,0.069630019
1563842639,3401,15.80878925,0.063255951
1563842645,3501,15.37151909,0.065055379
1563842652,3601,15.40291691,0.064922768
1563842659,3701,14.97254276,0.066788923
1563842665,3801,15.90448189,0.062875358
1563842671,3901,15.56716061,0.06423779
,,15.61499074,0.064079315
,,0.375670999,0.001635632
