Wall time,Step,Value
1568259979.706842,103,18.55556869506836
1568259982.961168,204,31.0357666015625
1568259986.493056,324,33.97597122192383
1568259989.138037,429,39.69791793823242
1568259991.745267,536,41.03936004638672
1568259994.532461,650,40.901424407958984
1568259997.015367,758,43.49790954589844
1568259999.437132,863,43.356754302978516
1568260002.004774,972,42.451416015625
1568260004.369512,1072,42.28824996948242
1568260006.749905,1179,44.94978713989258
1568260009.197097,1284,42.90640640258789
1568260011.736542,1392,42.52958297729492
1568260014.344798,1505,43.323883056640625
1568260016.852996,1613,43.05866622924805
1568260019.462074,1727,43.69468307495117
1568260021.921249,1835,43.91613006591797
1568260024.472664,1942,41.937347412109375
1568260027.076852,2056,43.77568817138672
1568260029.673303,2167,42.75031661987305
1568260032.131758,2273,43.11676025390625
1568260034.557299,2378,43.28998947143555
1568260037.08632,2489,43.89051818847656
1568260039.644265,2601,43.784671783447266
1568260042.137552,2709,43.31624221801758
1568260044.571886,2816,43.95420455932617
1568260046.919625,2916,42.59440612792969
1568260049.475581,3027,43.42760467529297
1568260051.98781,3134,42.592594146728516
1568260054.571514,3246,43.348236083984375
1568260057.009904,3353,43.88137435913086
1568260059.534915,3460,42.37605285644531
1568260061.996355,3566,43.06438446044922
1568260064.448007,3675,44.4592170715332
1568260067.063326,3786,42.442955017089844
1568260069.621671,3897,43.388187408447266
1568260072.09102,4005,43.73466873168945
1568260074.743949,4114,41.08666229248047
1568260077.210832,4220,42.96957015991211
1568260079.921299,4333,41.6900634765625
1568260082.429271,4441,43.06266403198242
1568260084.927903,4550,43.62376403808594
1568260087.364009,4655,43.10137939453125
1568260089.861904,4763,43.23805236816406
1568260092.487469,4874,42.27566146850586
1568260095.055324,4987,44.00621795654297
