Wall time,Step,Value
1568091464.749097,104,11.324967384338379
1568091471.531816,208,15.333169937133789
1568091477.218125,314,18.641189575195312
1568091481.801651,415,22.035274505615234
1568091485.740888,518,26.147323608398438
1568091489.716101,623,26.413558959960938
1568091493.681133,730,26.986055374145508
1568091497.672215,837,26.809999465942383
1568091501.602888,943,26.967262268066406
1568091505.570587,1050,26.967777252197266
1568091509.526499,1156,26.795310974121094
1568091513.520794,1263,26.788501739501953
1568091517.529569,1370,26.690946578979492
1568091521.528661,1478,27.006502151489258
1568091525.480992,1585,27.07270622253418
1568091529.455451,1692,26.921571731567383
1568091533.398095,1798,26.88540267944336
1568091537.179898,1901,27.235736846923828
1568091541.172913,2008,26.79673957824707
1568091544.921679,2109,26.942228317260742
1568091548.679512,2212,27.409683227539062
1568091552.645795,2319,26.977235794067383
1568091556.523102,2423,26.822725296020508
1568091560.498339,2531,27.168075561523438
1568091564.511201,2637,26.415287017822266
1568091568.262424,2740,27.458274841308594
1568091572.248477,2846,26.592008590698242
1568091576.250401,2954,26.98712921142578
1568091579.976243,3055,27.10795021057129
1568091583.933549,3163,27.29131317138672
1568091588.005103,3272,26.771085739135742
1568091591.953394,3377,26.59368896484375
1568091595.955076,3485,26.989164352416992
1568091599.926521,3592,26.94227409362793
1568091603.888848,3699,27.004680633544922
1568091607.865561,3805,26.654401779174805
1568091611.866069,3912,26.74663543701172
