Provisioning,Staging,Booting
3.739018066,46.82605811,42.11168188
1.37961499,48.77731519,41.51697998
4.364494873,43.80922778,41.10275024
1.409226318,43.90361719,41.11107495
1.26202002,42.83770898,41.10202808
1.330316895,51.65898584,41.72370605
1.514125732,53.387875,40.49946899
1.176559814,48.24263306,41.08541211
1.623802002,48.11019312,41.99447607
1.157809082,49.10797412,41.64503394
1.491917236,46.0293501,41.50014087
1.433584229,52.485125,41.40245215
1.323297119,54.79136694,40.94206104
1.384913818,50.31957178,41.73226636
1.224176758,51.39120728,41.24800977
