Wall time,Step,Value
1568092508.135855,105,3.7880361080169678
1568092519.262187,208,9.257309913635254
1568092531.128191,309,8.511704444885254
1568092540.235352,410,11.090140342712402
1568092549.098797,514,11.7335844039917
1568092558.123201,617,11.413554191589355
1568092566.741289,718,11.719507217407227
1568092575.307325,818,11.673971176147461
1568092583.949279,921,11.918618202209473
1568092591.687142,1022,13.052716255187988
1568092599.402961,1125,13.349176406860352
1568092607.08334,1229,13.541033744812012
1568092614.771504,1331,13.267110824584961
1568092622.500699,1434,13.326107025146484
1568092630.020554,1536,13.56411075592041
1568092637.579143,1639,13.626871109008789
1568092645.091969,1741,13.576774597167969
1568092652.605733,1843,13.57516860961914
1568092660.091622,1944,13.49197006225586
1568092667.603825,2046,13.577877044677734
1568092675.15787,2148,13.502745628356934
1568092682.634633,2250,13.642269134521484
1568092690.312314,2354,13.545760154724121
1568092697.769628,2455,13.543794631958008
1568092705.422294,2557,13.328638076782227
1568092712.909156,2659,13.623854637145996
1568092720.427204,2761,13.567340850830078
1568092727.993701,2864,13.612762451171875
1568092735.602888,2967,13.536165237426758
1568092743.131319,3069,13.548602104187012
1568092750.616606,3170,13.493365287780762
1568092758.139914,3273,13.690587997436523
1568092765.665403,3375,13.553938865661621
1568092773.338877,3478,13.42283821105957
1568092780.805638,3580,13.660646438598633
1568092788.481377,3684,13.549144744873047
1568092795.953663,3786,13.650501251220703
1568092803.641903,3888,13.266889572143555
1568092811.391654,3991,13.29082202911377
1568092819.029567,4093,13.354401588439941
1568092826.52103,4194,13.48204517364502
1568092833.983892,4296,13.66763687133789
1568092841.522174,4399,13.663599967956543
1568092849.038486,4501,13.570488929748535
1568092856.544238,4602,13.456364631652832
1568092864.036825,4705,13.746902465820312
1568092871.551849,4807,13.572771072387695
1568092878.985508,4908,13.5868501663208
